venue_city,segment_name,min_price,max_price,average_price,venue_latitude,venue_longitude
 Covington,Music,22.25,47.25,34.75,39.082695,-84.509561
 Santa Fe,Music,25.0,35.0,30.0,35.66589,-105.99394
Abilene,Music,0.0,0.0,0.0,32.45232405423746,-99.73750804602513
Addison,Arts & Theatre,30.020833333333332,239.79166666666666,134.90625,32.95394,-96.82502
Akron,Arts & Theatre,28.083333333333332,62.02777777777778,45.05555555555556,41.07879548333333,-81.51531624472221
Akron,Miscellaneous,47.5,65.83333333333333,56.666666666666664,41.07985526666667,-81.51823526
Akron,Music,30.205882352941178,55.529411764705884,42.86764705882353,41.074983930882354,-81.50540284794117
Albany,Arts & Theatre,37.89565217391304,97.02391304347827,67.45978260869565,40.7254486973913,-75.5610554652174
Albany,Miscellaneous,21.0,206.6,113.8,42.64834,-73.753957
Albany,Music,27.872666666666667,48.11711111111111,37.99488888888889,41.17647016888889,-75.13841888222223
Albany,Sports,13.03448275862069,47.689655172413794,30.362068965517242,41.88468563448276,-74.47086044827587
Albuquerque,Arts & Theatre,36.05,137.5,86.775,35.067802,-106.73168519999999
Albuquerque,Miscellaneous,10.0,10.0,10.0,35.086163,-106.647195
Albuquerque,Music,54.45,136.05,95.25,35.03959865,-106.7293212
Alexandria,Arts & Theatre,49.75,49.75,49.75,38.839787,-77.061339
Alexandria,Miscellaneous,25.0,330.0,177.5,31.2955171,-92.5034185
Alexandria,Music,59.705263157894734,60.578947368421055,60.142105263157895,38.755018268084626,-77.57857172922675
Allen,Arts & Theatre,32.5,72.5,52.5,33.129178,-96.6551921
Allen,Miscellaneous,55.0,55.0,55.0,33.129178,-96.6551921
Allen,Sports,30.21276595744681,61.787234042553195,46.0,33.129178,-96.65519210000001
Allentown,Arts & Theatre,52.214285714285715,152.14285714285714,102.17857142857143,40.60220987,-75.47167003
Allentown,Miscellaneous,19.45,140.25,79.85,40.60220987,-75.47167003
Allentown,Music,72.625,157.625,115.125,40.60220987,-75.47167003
Allentown,Sports,17.966666666666665,102.03333333333333,60.0,40.60220987,-75.47167003
Alpharetta,Music,45.125,330.125,187.625,34.0544157,-84.3066793
Alpine,Music,85.0,250.0,167.5,32.842267,-116.705473
Ames,Arts & Theatre,28.055555555555557,57.94444444444444,43.0,42.01815688888889,-93.63771344444444
Ames,Music,35.92857142857143,72.78571428571429,54.357142857142854,42.017226,-93.63722
Ames,Sports,33.529411764705884,49.705882352941174,41.61764705882353,42.017226,-93.63722
Anaheim,Arts & Theatre,44.95,93.4,69.175,33.803988608000004,-117.88429855199999
Anaheim,Miscellaneous,30.833333333333332,154.25,92.54166666666667,33.807008841666665,-117.87814933499999
Anaheim,Music,35.798701298701296,53.396103896103895,44.5974025974026,33.80835980194805,-117.91486195415582
Anaheim,Sports,48.625,412.28125,230.453125,33.806632446250006,-117.8775075075
Anchorage,Sports,13.35,69.75,41.55,61.2175806,-149.8925421
Anderson,Arts & Theatre,16.0,29.0,22.5,40.104486,-85.678886
Anderson,Film,39.0,75.0,57.0,40.104486,-85.678886
Anderson,Music,25.75,74.25,50.0,39.63020508333333,-85.43774238333333
Ann Arbor,Arts & Theatre,44.5,69.6,57.05,42.2794021,-83.7419107
Ann Arbor,Music,19.375,45.0,32.1875,42.280047762500004,-83.7499513375
Appleton,Arts & Theatre,39.611875,456.17083333333335,247.89135416666667,44.262556999999994,-88.411785
Appleton,Miscellaneous,19.333333333333332,32.0,25.666666666666668,44.262556999999994,-88.411785
Appleton,Music,30.568,59.159000000000006,44.8635,44.262557,-88.411785
Arcadia,Sports,5.0,20.27777777777778,12.63888888888889,34.139397,-118.043459
Arlington,Music,60.875,250.875,155.875,32.747242,-97.083796
Asbury Park,Music,28.141025641025642,28.141025641025642,28.141025641025642,40.22151733384616,-74.00015875435898
Asheville,Arts & Theatre,34.86363636363637,82.18181818181819,58.52272727272727,35.597471,-82.555289
Asheville,Miscellaneous,36.791999999999994,96.792,66.792,35.597471,-82.555289
Asheville,Music,65.05,70.45,67.75,35.597471,-82.555289
Atlanta,Arts & Theatre,39.205911949685536,117.19647798742139,78.20119496855345,33.813200710691824,-84.4044147918239
Atlanta,Film,39.5,109.5,74.5,33.790098,-84.385493
Atlanta,Miscellaneous,59.107142857142854,59.107142857142854,59.107142857142854,33.872464182142856,-84.44847048928571
Atlanta,Music,33.965369774919616,67.9324115755627,50.94889067524116,33.79060223774919,-84.39779822250803
