performer_id,genre_id
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9174F10,KnvZfZ7vAeA
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ917u1F7,KnvZfZ7vAvv
K8vZ9174F10,KnvZfZ7vAeA
K8vZ917ofH0,KnvZfZ7vAeA
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ917QtDV,KnvZfZ7vAe1
K8vZ917QtDV,KnvZfZ7vAe1
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ917u1F7,KnvZfZ7vAvv
K8vZ917QtDV,KnvZfZ7vAe1
K8vZ917QtDV,KnvZfZ7vAe1
K8vZ917QtDV,KnvZfZ7vAe1
K8vZ9179WA7,KnvZfZ7vAvl
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9179WA7,KnvZfZ7vAvl
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9173lg7,KnvZfZ7vAeA
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ917bcy0,KnvZfZ7vAeA
K8vZ917bcy0,KnvZfZ7vAeA
K8vZ917_HH0,KnvZfZ7vAeA
K8vZ9171F7V,KnvZfZ7vAeA
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ917fAG7,KnvZfZ7vAeA
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ9175U3f,KnvZfZ7vA1n
K8vZ9171o7f,KnvZfZ7vA1n
K8vZ917fAG7,KnvZfZ7vAeA
K8vZ9178Q5V,KnvZfZ7vAvv
K8vZ9178Q5V,KnvZfZ7vAvv
K8vZ917CAQV,KnvZfZ7vAeA
K8vZ917CAQV,KnvZfZ7vAeA
K8vZ917qOKV,KnvZfZ7vAeA
K8vZ917qOKV,KnvZfZ7vAeA
K8vZ917qOKV,KnvZfZ7vAeA
K8vZ917qOKV,KnvZfZ7vAeA
K8vZ9174Za7,KnvZfZ7vAeA
K8vZ9174Za7,KnvZfZ7vAeA
