,node_id,node_coeff,node_name
0,KovZpZAEeFtA,0.31477857988951075,Wells Hall at The Parker
1,KovZpZAEvnlA,0.2949708622800368,Au-Rene Theater at the Broward Center
2,KovZpZA7AeJA,0.28918465977856556,Amaturo Theater at Broward Center
3,KovZpZAEeaeA,0.2846799836281753,Rose & Alfred Miniaci Performing Arts Center
4,KovZpZAEkvlA,0.2673571612454739,Revolution Live
5,KovZpZAEeadA,0.2017238972374638,Abdo New River Room at the Broward Center
6,KovZpZAEke6A,0.19676932368535735, Revolution Live at the Backyard
7,KovZpZAFk7tA,0.18690447530487464,Culture Room
