,node_id,node_centrality,node_name
0,KovZpZAEeaeA,1.0,Rose & Alfred Miniaci Performing Arts Center
1,KovZpZAEvnlA,1.0,Au-Rene Theater at the Broward Center
2,KovZpZAEeFtA,1.0,Wells Hall at The Parker
3,KovZpZA7AeJA,1.0,Amaturo Theater at Broward Center
4,KovZpZAFk7tA,0.8571428571428571,Culture Room
5,KovZpZAEeadA,0.8571428571428571,Abdo New River Room at the Broward Center
6,KovZpZAEkvlA,0.8571428571428571,Revolution Live
7,KovZpZAEke6A,0.5714285714285714, Revolution Live at the Backyard
