venue_id,name,city,state,country,address,postalCode,latitude,longitude,upcomingEvents
Z598xZ2qZ61Ak,Sala La 2,Sevilla,Seville,Spain,"C/ José Díaz, 6",41009,37.40847,-5.99017,2
Z598xZ2qZe6vk,Sala Pelicano,A Coruña,La Corunna,Spain,"Av. do Porto, 3",15003,43.36501,-8.40558,1
Z198xZ2qZd6k,Sala Razzmatazz 2,Barcelona,Barcelona,Spain,"Carrer de Pamplona, 88",08018,41.39701,2.19147,17
Z198xZ2qZAA7,Sala But,Madrid,Madrid,Spain,"C. de Barceló, 11",28004,40.42703,-3.69969,9
Z198xZ2qZAde,La Riviera,Madrid,Madrid,Spain,"Paseo Bajo de la Virgen del Puerto, s/n",28005,40.413,-3.72215,14
Z198xZ2qZkeF,Sala Razzmatazz 1,Barcelona,Barcelona,Spain,"C. Almogàvers, 122",08018,41.39772,2.19111,14
Z598xZ2qZFd7k,Sala Villanos,Madrid,Madrid,Spain,"C. de Bernardino Obregón, 18",28012,40.40397,-3.78242,5
Z598xZ2qZeF6k,Garufa Club,A Coruña,La Corunna,Spain,"Rúa Riazor, 5",15004,43.36745,-8.41056,1
Z198xZ2qZ6eF,Sala Azkena,Bilbao,Biscay,Spain,"Ibáñez de Bilbao Kalea, 26",48009,43.26368,-2.92993,2
Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,37
Z598xZ2qZFd7k,Sala Villanos,Madrid,Madrid,Spain,"C. de Bernardino Obregón, 18",28012,40.40397,-3.78242,5
Z598xZ2qZFd7k,Sala Villanos,Madrid,Madrid,Spain,"C. de Bernardino Obregón, 18",28012,40.40397,-3.78242,5
Z198xZ2qZ77F,Teatro Barceló,Madrid,Madrid,Spain,"Calle Barceló, 11",28004,40.42684,-3.7,2
Z198xZ2qZAA7,Sala But,Madrid,Madrid,Spain,"C. de Barceló, 11",28004,40.42703,-3.69969,9
Z598xZ2qZdvF1,Sala Razzmatazz 3,Barcelona,Barcelona,Spain,"Carrer de Pamplona, 88",08018,41.39701,2.19147,3
Z598xZ2qZdvF1,Sala Razzmatazz 3,Barcelona,Barcelona,Spain,"Carrer de Pamplona, 88",08018,41.39701,2.19147,3
Z198xZ2qZkeF,Sala Razzmatazz 1,Barcelona,Barcelona,Spain,"C. Almogàvers, 122",08018,41.39772,2.19111,14
Z198xZ2qZAde,La Riviera,Madrid,Madrid,Spain,"Paseo Bajo de la Virgen del Puerto, s/n",28005,40.413,-3.72215,14
Z198xZ2qZkeF,Sala Razzmatazz 1,Barcelona,Barcelona,Spain,"C. Almogàvers, 122",08018,41.39772,2.19111,14
Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,26
Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,37
Z598xZ2qZ77dF,Paral·lel 62,Barcelona,Barcelona,Spain,"Av. del Paral.lel, 62",08001,41.3751,2.16973,11
Z598xZ2qZ77dF,Paral·lel 62,Barcelona,Barcelona,Spain,"Av. del Paral.lel, 62",08001,41.3751,2.16973,11
Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,37
Z598xZ2qZ77dF,Paral·lel 62,Barcelona,Barcelona,Spain,"Av. del Paral.lel, 62",08001,41.3751,2.16973,11
Z598xZ2qZ77dF,Paral·lel 62,Barcelona,Barcelona,Spain,"Av. del Paral.lel, 62",08001,41.3751,2.16973,11
Z598xZ2qZdF7k,Palacio Municipal - IFEMA MADRID,Madrid,Madrid,Spain,"Av. de la Capital de España Madrid, nº7",28042,40.46218,-3.61687,10
Z598xZ2qZdF7k,Palacio Municipal - IFEMA MADRID,Madrid,Madrid,Spain,"Av. de la Capital de España Madrid, nº7",28042,40.46218,-3.61687,10
Z198xZ2qZAA7,Sala But,Madrid,Madrid,Spain,"C. de Barceló, 11",28004,40.42703,-3.69969,9
Z198xZ2qZd6k,Sala Razzmatazz 2,Barcelona,Barcelona,Spain,"Carrer de Pamplona, 88",08018,41.39701,2.19147,17
Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,26
Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,26
Z598xZ2qZdAaF,Sala Upload - Poble Espanyol,Barcelona,Barcelona,Spain,"Av Francesc Ferrer i Guardia, 13",08100,41.3688,2.14823,5
Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,26
Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,26
Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,26
Z598xZ2qZe1aF,Sala Nazca,Madrid,Madrid,Spain,"Calle de Orense, 24",28003,40.45146,-3.69482,4
Z598xZ2qZe7Fe,Auditorio Forum CCIB,Barcelona,Barcelona,Spain,"Plaça de Willy Brandt, 11-14",08019,41.40941,2.21908,2
Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,26
Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,26
Z598xZ2qZ6Fde,Live Sur Stadium,Sevilla,Seville,Spain,Zona Isla de la Cartuja - Santiponce,41970,37.41969,-6.00416,2
Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,26
Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,26
Z598xZ2qZ6aae,LA SALA (WIZINK CENTER),Madrid,Madrid,Spain,"Calle Fuente del Berro, Puerta 36",28009,40.42419,-3.67351,3
Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,37
Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,37
Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,26
Z198xZ2qZd6k,Sala Razzmatazz 2,Barcelona,Barcelona,Spain,"Carrer de Pamplona, 88",08018,41.39701,2.19147,17
Z198xZ2qZkeF,Sala Razzmatazz 1,Barcelona,Barcelona,Spain,"C. Almogàvers, 122",08018,41.39772,2.19111,14
Z198xZ2qZkeF,Sala Razzmatazz 1,Barcelona,Barcelona,Spain,"C. Almogàvers, 122",08018,41.39772,2.19111,14
Z598xZ2qZe6kF,Coliseum,A Coruña,La Corunna,Spain,"C. Francisco Pérez Carballo, 2",15008,43.33846,-8.40904,22
Z598xZ2qZe6kF,Coliseum,A Coruña,La Corunna,Spain,"C. Francisco Pérez Carballo, 2",15008,43.33846,-8.40904,22
Z198xZ2qZk6k,Bizkaia Arena Bec!,Barakaldo,Biscay,Spain,"Rda. de Azkue, 1",,43.29087,-2.98869,3
