event_id,event_name,event_type,event_url,locale,start_date,start_time,timezone,status,venue_id,venue_name,venue_city,venue_state,venue_country,venue_address,venue_postal_code,venue_latitude,venue_longitude,segment_name,genre_name,sub_genre_name
Z698xZ2qZa1Ah,Rod Stewart,event,https://www.ticketmaster.es/event/rod-stewart-tickets/41307?language=en-us,en-us,2024-12-15,21:00:00,Europe/Madrid,onsale,Z598xZ2qZe6kF,Coliseum,A Coruña,La Corunna,Spain,"C. Francisco Pérez Carballo, 2",15008,43.33846,-8.40904,Music,Rock,Pop
Z698xZ2qZa1ds,Andrés Koi - KoiTour,event,https://www.ticketmaster.es/event/andres-koi-koitour-tickets/41201?language=en-us,en-us,2024-12-15,20:30:00,Europe/Madrid,rescheduled,Z598xZ2qZeFAe,Sala La Trinchera,Málaga,Málaga,Spain,"Calle Parauta, 25",29006,36.70131,-4.4676,Music,Rock,Pop
Z698xZ2qZa1ko,Rod Stewart - Paquetes VIP,event,https://www.ticketmaster.es/event/rod-stewart-paquetes-vip-tickets/41361?language=en-us,en-us,2024-12-15,21:00:00,Europe/Madrid,onsale,Z598xZ2qZe6kF,Coliseum,A Coruña,La Corunna,Spain,"C. Francisco Pérez Carballo, 2",15008,43.33846,-8.40904,Music,Rock,Pop
Z698xZ2qZa1o2,Jay Wheeler: TRAPPii Tour,event,https://www.ticketmaster.es/event/jay-wheeler-trappii-tour-tickets/42063?language=en-us,en-us,2024-12-16,21:00:00,Europe/Madrid,onsale,Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,Music,Rock,Pop
Z698xZ2qZa1_K,Black Eyed Peas - Christmas by STARLITE,event,https://www.ticketmaster.es/event/black-eyed-peas-christmas-by-starlite-tickets/42579?language=en-us,en-us,2024-12-18,21:30:00,Europe/Madrid,onsale,Z598xZ2qZ7aa1,IFEMA,Madrid,Madrid,Spain,"Av. Partenón, Nº 5",28042,40.46423,-3.61532,Music,Undefined,Undefined
Z698xZ2qZa1_5,Taburete - Christmas  STARLITE,event,https://www.ticketmaster.es/event/taburete-christmas-starlite-tickets/42571?language=en-us,en-us,2024-12-27,21:30:00,Europe/Madrid,onsale,Z598xZ2qZ7aa1,IFEMA,Madrid,Madrid,Spain,"Av. Partenón, Nº 5",28042,40.46423,-3.61532,Music,Undefined,Undefined
Z698xZ2qZa1_o,María Becerra | Paquetes VIP,event,https://www.ticketmaster.es/event/maria-becerra-%7C-paquetes-vip-tickets/42577?language=en-us,en-us,2025-01-04,21:00:00,Europe/Madrid,onsale,Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,Music,Rock,Pop
Z698xZ2qZa1by,María Becerra,event,https://www.ticketmaster.es/event/maria-becerra-tickets/42553?language=en-us,en-us,2025-01-04,21:00:00,Europe/Madrid,onsale,Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,Music,Rock,Pop
Z698xZ2qZa1dh,LA CENDEJAS - TSUNAMI TOUR,event,https://www.ticketmaster.es/event/la-cendejas-tsunami-tour-tickets/41179?language=en-us,en-us,2025-01-16,20:30:00,Europe/Madrid,onsale,Z198xZ2qZF11,La 2 de Apolo,Barcelona,Barcelona,Spain,"Carrer Nou de la Rambla, 113",08004,41.37441,2.16953,Music,Rock,Pop
Z698xZ2qZa1dE,LA CENDEJAS - TSUNAMI TOUR,event,https://www.ticketmaster.es/event/la-cendejas-tsunami-tour-tickets/41191?language=en-us,en-us,2025-01-17,20:00:00,Europe/Madrid,cancelled,Z198xZ2qZA6k,Sala Las Armas,Zaragoza,Saragossa,Spain,"Plaza Mariano de Cavia, 2",50003,41.657,-0.8853,Music,Rock,Pop
