,node_id,node_centrality,node_name
0,KovZpZAJIedA,1.0,The Ritz
1,KovZpZAEkeaA,1.0,Coastal Credit Union Music Park at Walnut Creek
2,KovZpZAdakJA,1.0,Lenovo Center
3,KovZpZAdEEvA,1.0,Red Hat Amphitheater
4,KovZpZAFF1nA,1.0,Martin Marietta Center for the Performing Arts
