event_id,type,currency,min_price,max_price
Z698xZ2qZ16vo77Sb4,standard,EUR,30.0,87.0
Z698xZ2qZ16vo77Sb4,standard including fees,EUR,34.0,98.5
Z698xZ2qZa1_v,standard including fees,EUR,77.0,77.0
Z698xZ2qZa1_v,standard,EUR,68.0,68.0
Z698xZ2qZa1bW,standard,EUR,23.0,23.0
Z698xZ2qZa1bW,standard including fees,EUR,26.0,26.0
Z698xZ2qZa1d-,standard including fees,EUR,28.5,28.5
Z698xZ2qZa1d-,standard,EUR,25.0,25.0
Z698xZ2qZ1kO_uzkA,standard,EUR,30.0,87.0
Z698xZ2qZ1kO_uzkA,standard including fees,EUR,34.0,98.5
Z698xZ2qZ1koP3v1f,standard,EUR,110.0,140.0
Z698xZ2qZ1koP3v1f,standard including fees,EUR,124.5,158.5
Z698xZ2qZa19l,standard including fees,EUR,31.5,31.5
Z698xZ2qZa19l,standard,EUR,28.0,28.0
Z698xZ2qZa1bD,standard,EUR,23.0,23.0
Z698xZ2qZa1bD,standard including fees,EUR,26.0,26.0
Z698xZ2qZa1bT,standard including fees,EUR,77.0,77.0
Z698xZ2qZa1bT,standard,EUR,68.0,68.0
Z698xZ2qZa18s,standard,EUR,30.0,30.0
Z698xZ2qZa18s,standard including fees,EUR,34.0,34.0
Z698xZ2qZa18g,standard,EUR,30.0,30.0
Z698xZ2qZa18g,standard including fees,EUR,34.0,34.0
Z698xZ2qZa1k5,standard,EUR,30.0,30.0
Z698xZ2qZa1k5,standard including fees,EUR,34.0,34.0
Z698xZ2qZ16vPvZUvv,standard,EUR,30.0,87.0
Z698xZ2qZ16vPvZUvv,standard including fees,EUR,34.0,98.5
Z698xZ2qZ16vrA_obJ,standard,EUR,110.0,140.0
Z698xZ2qZ16vrA_obJ,standard including fees,EUR,124.5,158.5
Z698xZ2qZ16v8dadag,standard,EUR,30.0,87.0
Z698xZ2qZ16v8dadag,standard including fees,EUR,34.0,98.5
Z698xZ2qZ16voUZ_ea,standard,EUR,110.0,140.0
Z698xZ2qZ16voUZ_ea,standard including fees,EUR,124.5,158.5
Z698xZ2qZa14W,standard including fees,EUR,73.5,510.0
Z698xZ2qZa14W,standard,EUR,65.0,450.0
Z698xZ2qZa162,standard including fees,EUR,141.5,170.0
Z698xZ2qZa162,standard,EUR,125.0,150.0
Z698xZ2qZa166,standard including fees,EUR,56.5,85.0
Z698xZ2qZa166,standard,EUR,50.0,75.0
Z698xZ2qZa19A,standard,EUR,310.0,310.0
Z698xZ2qZa19A,standard including fees,EUR,351.5,351.5
Z698xZ2qZa16a,standard including fees,EUR,56.5,85.0
Z698xZ2qZa16a,standard,EUR,50.0,75.0
Z698xZ2qZa16o,standard including fees,EUR,141.5,170.0
Z698xZ2qZa16o,standard,EUR,125.0,150.0
Z698xZ2qZa16K,standard including fees,EUR,181.5,181.5
Z698xZ2qZa16K,standard,EUR,160.0,160.0
Z698xZ2qZa16d,standard including fees,EUR,62.5,218.5
Z698xZ2qZa16d,standard,EUR,55.0,195.0
Z698xZ2qZa17M,standard including fees,EUR,31.5,31.5
Z698xZ2qZa17M,standard,EUR,28.0,28.0
Z698xZ2qZa17R,standard including fees,EUR,31.5,31.5
Z698xZ2qZa17R,standard,EUR,28.0,28.0
Z698xZ2qZa1pN,standard including fees,EUR,0.0,249.5
Z698xZ2qZa1pN,standard,EUR,26.5,220.0
Z698xZ2qZa1pE,standard including fees,EUR,30.0,249.5
Z698xZ2qZa1pE,standard,EUR,26.5,220.0
Z698xZ2qZa1pD,standard,EUR,23.0,23.0
Z698xZ2qZa1pD,standard including fees,EUR,26.0,26.0
Z698xZ2qZa1pP,standard,EUR,30.0,235.0
Z698xZ2qZa1pP,standard including fees,EUR,0.0,266.5
Z698xZ2qZa1pt,standard including fees,EUR,35.0,249.5
Z698xZ2qZa1pt,standard,EUR,31.0,220.0
Z698xZ2qZa1pR,standard,EUR,30.0,235.0
Z698xZ2qZa1pR,standard including fees,EUR,0.0,266.5
Z698xZ2qZa1py,standard,EUR,23.0,23.0
Z698xZ2qZa1py,standard including fees,EUR,26.0,26.0
Z698xZ2qZaaEP,standard,EUR,56.9,172.5
Z698xZ2qZaaEP,standard including fees,EUR,59.9,179.0
Z698xZ2qZa1pl,standard including fees,EUR,30.0,249.5
