event_id,name,type,url,locale,start_date,end_date,timezone,status,span_multiple_days,venue_id
Z698xZ2qZa17W,Paul McCartney: GOT BACK TOUR,event,https://www.ticketmaster.es/event/paul-mccartney-got-back-tour-tickets/41277?language=en-us,en-us,2024-12-09,2024-12-09T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkek
Z698xZ2qZa1Ad,Paul McCartney: GOT BACK TOUR,event,https://www.ticketmaster.es/event/paul-mccartney-got-back-tour-tickets/41283?language=en-us,en-us,2024-12-10,2024-12-10T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkek
Z698xZ2qZa13A,Imagine Dragons: LOOM World Tour | VIP Packages,event,https://www.ticketmaster.es/event/imagine-dragons-loom-world-tour-%7C-vip-packages-tickets/42117?language=en-us,en-us,2025-06-28,2025-06-28T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZ6Fe1
Z698xZ2qZa18q,Imagine Dragons: LOOM World Tour,event,https://www.ticketmaster.es/event/imagine-dragons-loom-world-tour-tickets/42013?language=en-us,en-us,2025-06-28,2025-06-28T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZ6Fe1
Z698xZ2qZa13R,Imagine Dragons: LOOM World Tour | VIP Packages,event,https://www.ticketmaster.es/event/imagine-dragons-loom-world-tour-%7C-vip-packages-tickets/42159?language=en-us,en-us,2025-07-01,2025-07-01T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZd7eF
Z698xZ2qZa189,Imagine Dragons: LOOM World Tour,event,https://www.ticketmaster.es/event/imagine-dragons-loom-world-tour-tickets/42007?language=en-us,en-us,2025-07-01,2025-07-01T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZd7eF
Z698xZ2qZaaB-, J. Bernardt,event,https://www.ticketmaster.es/event/-j-bernardt-tickets/40609?language=en-us,en-us,2024-12-02,2024-12-02T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZdAdF
Z698xZ2qZaaDE,Griff,event,https://www.ticketmaster.es/event/griff-tickets/40679?language=en-us,en-us,2024-12-02,2024-12-02T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkeF
Z698xZ2qZaaBL, J. Bernardt,event,https://www.ticketmaster.es/event/-j-bernardt-tickets/40607?language=en-us,en-us,2024-12-03,2024-12-03T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZFd7k
Z698xZ2qZaaDP,Griff,event,https://www.ticketmaster.es/event/griff-tickets/40677?language=en-us,en-us,2024-12-03,2024-12-03T20:30:00Z,Europe/Madrid,onsale,False,Z198xZ2qZAde
Z698xZ2qZaaQy,Test Events Cris Enero English,event,https://www.ticketmaster.es/event/test-events-cris-enero-english-tickets/38585?language=en-us,en-us,2024-12-03,2024-12-03T18:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkeF
Z698xZ2qZa18_,Matinée Gold Festival,event,https://www.ticketmaster.es/event/matinee-gold-festival-tickets/42009?language=en-us,en-us,2024-12-05,2024-12-05T22:59:00Z,Europe/Madrid,onsale,False,Z598xZ2qZ7a6e
Z698xZ2qZaahq,Homenaje a John Williams,event,https://www.ticketmaster.es/event/homenaje-a-john-williams-tickets/38621?language=en-us,en-us,2024-12-07,2024-12-07T18:45:00Z,Europe/Madrid,cancelled,False,Z598xZ2qZe7Fe
Z698xZ2qZa1oo,Role Model - NO PLACE LIKE TOUR,event,https://www.ticketmaster.es/event/role-model-no-place-like-tour-tickets/42065?language=en-us,en-us,2024-12-08,2024-12-08T19:30:00Z,Europe/Madrid,onsale,False,Z198xZ2qZAde
Z698xZ2qZa1ou,Role Model - NO PLACE LIKE TOUR,event,https://www.ticketmaster.es/event/role-model-no-place-like-tour-tickets/42061?language=en-us,en-us,2024-12-09,2024-12-09T19:30:00Z,Europe/Madrid,onsale,False,Z198xZ2qZdA1
Z698xZ2qZa172,Andrés Koi - KoiTour | Paquetes VIP,event,https://www.ticketmaster.es/event/andres-koi-koitour-%7C-paquetes-vip-tickets/41231?language=en-us,en-us,2024-12-15,2024-12-15T19:30:00Z,Europe/Madrid,rescheduled,False,Z598xZ2qZeFAe
Z698xZ2qZa1Ah,Rod Stewart,event,https://www.ticketmaster.es/event/rod-stewart-tickets/41307?language=en-us,en-us,2024-12-15,2024-12-15T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe6kF
Z698xZ2qZa1ds,Andrés Koi - KoiTour,event,https://www.ticketmaster.es/event/andres-koi-koitour-tickets/41201?language=en-us,en-us,2024-12-15,2024-12-15T19:30:00Z,Europe/Madrid,rescheduled,False,Z598xZ2qZeFAe
Z698xZ2qZa1ko,Rod Stewart - Paquetes VIP,event,https://www.ticketmaster.es/event/rod-stewart-paquetes-vip-tickets/41361?language=en-us,en-us,2024-12-15,2024-12-15T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe6kF
Z698xZ2qZa1o2,Jay Wheeler: TRAPPii Tour,event,https://www.ticketmaster.es/event/jay-wheeler-trappii-tour-tickets/42063?language=en-us,en-us,2024-12-16,2024-12-16T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkek
Z698xZ2qZa1_K,Black Eyed Peas - Christmas by STARLITE,event,https://www.ticketmaster.es/event/black-eyed-peas-christmas-by-starlite-tickets/42579?language=en-us,en-us,2024-12-18,2024-12-18T22:59:00Z,Europe/Madrid,onsale,False,Z598xZ2qZ7aa1
